Academic Year,LEA Number,LEA Name,School Number,School Name,School Type,Address,City,State,Zip,Phone,NCES Number,Create Date
2017,01,Allegany,0301,Flintstone Elementary,E,22000 National Pike Ne,Flintstone,MD,215300000,3014782434,240003000014,20170814
2017,01,Allegany,0401,South Penn Elementary,E,500 E 2nd St,Cumberland,MD,215024249,3017771755,240003001359,20170814
2017,01,Allegany,0402,John Humbird Elementary,E,120 Mary St,Cumberland,MD,215027341,3017248842,240003000019,20170814
2017,01,Allegany,0405,Fort Hill High,H,500 Greenway Ave,Cumberland,MD,215023856,3017772570,240003000015,20170814
2017,01,Allegany,0406,Washington Middle,M,200 Massachusetts Ave,Cumberland,MD,215023855,3017775360,240003000031,20170814
2017,01,Allegany,0502,Northeast Elementary,E,11001 Forest Ave Ne,Cumberland,MD,215028817,3017243285,240003000024,20170814
2017,01,Allegany,0504,Braddock Middle,M,909 Holland St,Cumberland,MD,215021460,3017777990,240003000006,20170814
2017,01,Allegany,0601,Center for Career & Technical Education,H,14211 Mcmullen Hwy Sw,Cresaptown,MD,215025671,3017296486,240003000030,20170814
2017,01,Allegany,0602,Allegany County Evening High School,,17000 National Hwy Sw,Frostburg,MD,21532,3016893483,240003001545,20170814
2017,01,Allegany,0603,West Side Elementary,E,425 Paca St,Cumberland,MD,215022818,3017240340,240003000032,20170814
2017,01,Allegany,0606,Allegany High,H,616 Sedgwick St,Cumberland,MD,215022051,3017778110,240003000001,20170814
2017,01,Allegany,0701,Cresaptown Elementary,E,13202 6th Ave,Cresaptown,MD,215025568,3017290212,240003000010,20170814
2017,01,Allegany,0702,Bel Air Elementary,E,14401 Barton Blvd,Cumberland,MD,215025800,3017292992,240003000005,20170814
2017,01,Allegany,0801,Westernport Elementary,E,172 Church St,Westernport,MD,215621419,3013590511,240003000033,20170814
2017,01,Allegany,0802,Westmar Middle,M,16915 Lower George's Creek Rd Sw,Lonaconing,MD,215390000,3014635751,240003000007,20170814
2017,01,Allegany,1001,George's Creek Elementary,E,15600 Lower Georges Creek Rd Sw,Lonaconing,MD,215390000,3014636202,240003000017,20170814
2017,01,Allegany,1101,Frost Elementary,E,260 Shaw St,Frostburg,MD,215321114,3016895168,240003000016,20170814
2017,01,Allegany,1301,Mount Savage Middle,M,13201 New School Rd  Nw,Mount Savage,MD,215459801,3012643220,240003000023,20170814
2017,01,Allegany,1302,Mt. Savage Elementary,E,13201 New School Rd Nw,Mt Savage,MD,215459801,3012643220,240003001546,20170814
2017,01,Allegany,2401,Eckhart Alternative School,,17000 National Hwy Sw,Frostburg,MD,215320000,3016893483,240003002942,20170814
2017,01,Allegany,2404,Mountain Ridge High School,H,100 Dr. Nancy S. Grasmick,Frostburg,MD,21532,3016893377,240003001636,20170814
2017,01,Allegany,2801,Beall Elementary,E,3 E College Ave,Frostburg,MD,215320000,3016893636,240003000003,20170814
2017,01,Allegany,2901,Cash Valley Elementary,E,10601 Cash Valley Rd Nw,Lavale,MD,215029801,3017246632,240003001338,20170814
2017,01,Allegany,2902,Parkside Elementary,E,50 Parkside Blvd,Lavale,MD,215027424,3017290085,240003000026,20170814
2017,01,Allegany,5556,Transition Program at Cumberland,,10100 Country Club Road,Cumberland,MD,21502,3017241317,240003001389,20170814
2017,01,Allegany,7777,Allegany County Home & Hospital,,108 Washington St,Cumberland,MD,21502,3017592021,240003000886,20170814
2017,02,Anne Arundel,1023,Brooklyn Park Middle,M,200 Hammonds Ln,Baltimore,MD,212250000,4106362967,240006000050,20170814
2017,02,Anne Arundel,1033,Glen Burnie High,H,7550 Baltimore Annapolis Blvd,Glen Burnie,MD,210600000,4107618950,240006000075,20170814
2017,02,Anne Arundel,1043,Corkran Middle School,M,7600 Quarterfield Rd,Glen Burnie,MD,210610000,4102226493,240006000059,20170814
2017,02,Anne Arundel,1053,Lindale Middle,M,415 Andover Rd,Linthicum,MD,210900000,4106914344,240006000087,20170814
2017,02,Anne Arundel,1063,Marley Middle,M,10 Davis Ct,Glen Burnie,MD,210600000,4107610934,240006000095,20170814
2017,02,Anne Arundel,1082,Belle Grove Elementary,E,4502 Belle Grove Road,Baltimore,MD,212252698,4102226589,240006000043,20170814
2017,02,Anne Arundel,1092,Brooklyn Park Elementary,E,200 14th Ave,Baltimore,MD,212253407,4102226590,240006000049,20170814
2017,02,Anne Arundel,1102,Ferndale Early Education Center,,105 Packard Ave,Glen Burnie,MD,21061,4102226927,240006000066,20170814
2017,02,Anne Arundel,1112,George T. Cromwell Elementary,E,525 Wellham Ave,Glen Burnie,MD,210612162,4102226920,240006000071,20170814
2017,02,Anne Arundel,1122,Freetown Elementary,E,7904 Freetown Rd,Glen Burnie,MD,210608208,4102226900,240006001515,20170814
2017,02,Anne Arundel,1132,Glendale Elementary,E,105 Carroll Rd,Glen Burnie,MD,210606900,4102226404,240006000077,20170814
2017,02,Anne Arundel,1142,Hilltop Elementary,E,415 Melrose Ave,Glen Burnie,MD,210610000,4102226409,240006000081,20170814
2017,02,Anne Arundel,1152,Linthicum Elementary,E,101 School Ln,Linthicum,MD,210902527,4102226935,240006000088,20170814
2017,02,Anne Arundel,1162,Marley Elementary,E,715 Cooper Rd,Glen Burnie,MD,21060,4102226414,240006000093,20170814
2017,02,Anne Arundel,1172,North Glen Elementary,E,615 West Furnace Branch Rd,Glen Burnie,MD,210612215,4102226416,240006000102,20170814
2017,02,Anne Arundel,1182,Oakwood Elementary,E,330 Oak Manor Dr,Glen Burnie,MD,210615509,4102226420,240006000105,20170814
2017,02,Anne Arundel,1192,Overlook Elementary,E,401 Hampton Rd,Linthicum,MD,210901715,4102226585,240006000110,20170814
2017,02,Anne Arundel,1202,Park Elementary,E,201 East 11th Ave,Baltimore,MD,212253043,4102226593,240006000111,20170814
2017,02,Anne Arundel,1212,Point Pleasant Elementary,E,1035 Dumbarton Rd,Glen Burnie,MD,210607038,4102226425,240006000116,20170814
2017,02,Anne Arundel,1232,Quarterfield Elementary,E,7967 Quarterfield Rd,Severn,MD,211442126,4102226430,240006000117,20170814
2017,02,Anne Arundel,1242,Richard Henry Lee Elementary,E,400 A St,Glen Burnie,MD,210613406,4102226435,240006000118,20170814
2017,02,Anne Arundel,1262,Woodside Elementary,E,160 Funke Rd,Glen Burnie,MD,210614201,4102226910,240006000142,20170814
2017,02,Anne Arundel,1274,Marley Glen School,EMH,200 Scott Ave,Glen Burnie,MD,210607760,4102226940,240006000094,20170814
2017,02,Anne Arundel,1323,North County High,H,10 East 1st Avenue,Glen Burnie,MD,210610000,4102226970,240006090441,20170814
2017,02,Anne Arundel,2013,Severna Park High,H,60 Robinson Rd,Severna Park,MD,211462899,4105440900,240006000127,20170814
2017,02,Anne Arundel,2023,Northeast High,H,1121 Duvall Hwy,Pasadena,MD,211221909,4104376400,240006000103,20170814
2017,02,Anne Arundel,2033,George Fox Middle,M,7922 Outing Ave,Pasadena,MD,211221415,4104375512,240006000072,20170814
2017,02,Anne Arundel,2043,Severna Park Middle,M,450 Jumpers Hole Rd,Severna Park,MD,211461689,4106477900,240006000126,20170814
2017,02,Anne Arundel,2052,Arnold Elementary,E,90 Church Rd,Arnold,MD,210122344,4102221670,240006000038,20170814
2017,02,Anne Arundel,2062,Belvedere Elementary,E,360 Broadwater Rd,Arnold,MD,210120000,4109759432,240006000044,20170814
2017,02,Anne Arundel,2072,Benfield Elementary,E,365 Lynwood Dr,Severna Park,MD,211461535,4102226555,240006000045,20170814
2017,02,Anne Arundel,2082,Bodkin Elementary,E,8320 Ventnor Rd,Pasadena,MD,211225798,4104370464,240006000046,20170814
2017,02,Anne Arundel,2092,Cape St. Claire Elementary,E,931 Blue Ridge Dr,Annapolis,MD,21409,4102221685,240006000051,20170814
2017,02,Anne Arundel,2102,Folger Mckinsey Elementary,E,175 Arundel Beach Road,Severna Park,MD,21146,4102226560,240006000067,20170814
2017,02,Anne Arundel,2112,Fort Smallwood Elementary,E,1720 Poplar Ridge Rd,Pasadena,MD,211223718,4102226450,240006000068,20170814
2017,02,Anne Arundel,2132,High Point Elementary,E,924 Duvall Hwy,Pasadena,MD,211221809,4102226454,240006000079,20170814
2017,02,Anne Arundel,2142,Jacobsville Elementary,E,3801 Mountain Rd,Pasadena,MD,211222026,4102226460,240006000082,20170814
2017,02,Anne Arundel,2152,Jones Elementary,E,122 Hoyle Ln,Severna Park,MD,211460000,4102226565,240006000084,20170814
2017,02,Anne Arundel,2162,Lake Shore Elementary,E,4531 Mountain Rd,Pasadena,MD,211225305,4102226465,240006000085,20170814
2017,02,Anne Arundel,2172,Oak Hill Elementary,E,34 Truckhouse Rd,Severna Park,MD,211462715,4102226568,240006000104,20170814
2017,02,Anne Arundel,2182,Pasadena Elementary,E,401 East Pasadena Rd,Pasadena,MD,211224364,4102226573,240006000113,20170814
2017,02,Anne Arundel,2192,Riviera Beach Elementary,E,8515 Jenkins Rd,Pasadena,MD,211223026,4102226469,240006000121,20170814
