#academic_year,lea_number,lea_name,school_number,school_name,star_rating,total_earned_points_percent,percentile_rank_elementary,percentile_rank_middle,percentile_rank_high
2018,1,Allegany,301,Flintstone Elementary,4,64,52,na,na
2018,1,Allegany,401,South Penn Elementary,4,65,52,na,na
2018,1,Allegany,402,John Humbird Elementary,4,69,67,na,na
2018,1,Allegany,405,Fort Hill High,3,59,na,na,45
2018,1,Allegany,406,Washington Middle,3,56,na,49,na
2018,1,Allegany,502,Northeast Elementary,5,79,91,na,na
2018,1,Allegany,504,Braddock Middle,3,58,na,55,na
2018,1,Allegany,601,Center for Career & Technical Education,4,60,na,na,48
2018,1,Allegany,603,West Side Elementary,5,78,88,na,na
2018,1,Allegany,606,Allegany High,4,64,na,na,57
2018,1,Allegany,701,Cresaptown Elementary,5,79,90,na,na
2018,1,Allegany,702,Bel Air Elementary,4,65,54,na,na
2018,1,Allegany,801,Westernport Elementary,4,72,76,na,na
2018,1,Allegany,802,Westmar Middle,4,65,na,70,na
2018,1,Allegany,1001,George's Creek Elementary,4,70,68,na,na
2018,1,Allegany,1101,Frost Elementary,5,88,99,na,na
2018,1,Allegany,1301,Mount Savage Middle,3,59,na,56,na
2018,1,Allegany,1302,Mt. Savage Elementary,4,68,63,na,na
2018,1,Allegany,2404,Mountain Ridge High School,4,60,na,na,46
2018,1,Allegany,2801,Beall Elementary,5,79,91,na,na
2018,1,Allegany,2901,Cash Valley Elementary,5,84,97,na,na
2018,1,Allegany,2902,Parkside Elementary,5,79,91,na,na
2018,2,Anne Arundel,1023,Brooklyn Park Middle,3,54,na,40,na
2018,2,Anne Arundel,1033,Glen Burnie High,3,51,na,na,33
2018,2,Anne Arundel,1043,Corkran Middle School,3,54,na,42,na
2018,2,Anne Arundel,1053,Lindale Middle,3,52,na,35,na
2018,2,Anne Arundel,1063,Marley Middle,4,60,na,59,na
2018,2,Anne Arundel,1082,Belle Grove Elementary,2,39,6,na,na
2018,2,Anne Arundel,1092,Brooklyn Park Elementary,2,37,5,na,na
2018,2,Anne Arundel,1112,George T. Cromwell Elementary,2,38,6,na,na
2018,2,Anne Arundel,1122,Freetown Elementary,2,34,4,na,na
2018,2,Anne Arundel,1132,Glendale Elementary,2,44,12,na,na
2018,2,Anne Arundel,1142,Hilltop Elementary,2,39,6,na,na
2018,2,Anne Arundel,1152,Linthicum Elementary,3,56,28,na,na
2018,2,Anne Arundel,1162,Marley Elementary,3,45,13,na,na
2018,2,Anne Arundel,1172,North Glen Elementary,3,46,15,na,na
2018,2,Anne Arundel,1182,Oakwood Elementary,3,49,16,na,na
2018,2,Anne Arundel,1192,Overlook Elementary,3,48,16,na,na
2018,2,Anne Arundel,1202,Park Elementary,2,38,5,na,na
2018,2,Anne Arundel,1212,Point Pleasant Elementary,2,43,10,na,na
2018,2,Anne Arundel,1232,Quarterfield Elementary,3,46,14,na,na
2018,2,Anne Arundel,1242,Richard Henry Lee Elementary,3,46,14,na,na
2018,2,Anne Arundel,1262,Woodside Elementary,2,43,11,na,na
2018,2,Anne Arundel,1323,North County High,3,53,na,na,35
2018,2,Anne Arundel,2013,Severna Park High,5,79,na,na,88
2018,2,Anne Arundel,2023,Northeast High,4,61,na,na,50
2018,2,Anne Arundel,2033,George Fox Middle,3,55,na,45,na
2018,2,Anne Arundel,2043,Severna Park Middle,5,80,na,95,na
2018,2,Anne Arundel,2052,Arnold Elementary,3,53,23,na,na
2018,2,Anne Arundel,2062,Belvedere Elementary,3,53,23,na,na
2018,2,Anne Arundel,2072,Benfield Elementary,4,66,56,na,na
2018,2,Anne Arundel,2082,Bodkin Elementary,3,54,24,na,na
2018,2,Anne Arundel,2092,Cape St. Claire Elementary,3,52,21,na,na
2018,2,Anne Arundel,2102,Folger Mckinsey Elementary,4,62,44,na,na
2018,2,Anne Arundel,2112,Fort Smallwood Elementary,3,51,20,na,na
2018,2,Anne Arundel,2132,High Point Elementary,2,43,11,na,na
2018,2,Anne Arundel,2142,Jacobsville Elementary,2,44,11,na,na
2018,2,Anne Arundel,2152,Jones Elementary,4,66,58,na,na
2018,2,Anne Arundel,2162,Lake Shore Elementary,3,45,13,na,na
2018,2,Anne Arundel,2172,Oak Hill Elementary,3,51,20,na,na
2018,2,Anne Arundel,2182,Pasadena Elementary,4,63,47,na,na
2018,2,Anne Arundel,2192,Riviera Beach Elementary,3,53,23,na,na
2018,2,Anne Arundel,2202,Severna Park Elementary,3,58,31,na,na
2018,2,Anne Arundel,2212,Solley Elementary,3,46,13,na,na
2018,2,Anne Arundel,2222,Sunset Elementary,3,47,15,na,na
2018,2,Anne Arundel,2233,Anne Arundel Evening High,1,23,na,na,0
2018,2,Anne Arundel,2243,Magothy River Middle,5,76,na,92,na
2018,2,Anne Arundel,2273,Chesapeake High,4,71,na,na,72
2018,2,Anne Arundel,2322,Broadneck Elementary,3,55,27,na,na
2018,2,Anne Arundel,2363,Broadneck High,4,72,na,na,75
2018,2,Anne Arundel,2372,Windsor Farm Elementary,4,60,37,na,na
2018,2,Anne Arundel,2413,Severn River Middle,4,70,na,82,na
2018,2,Anne Arundel,2423,Chesapeake Bay Middle,4,64,na,68,na
2018,2,Anne Arundel,2432,Shipley's Choice Elementary,4,65,54,na,na
2018,2,Anne Arundel,3013,Arundel High,4,67,na,na,65
2018,2,Anne Arundel,3023,Arundel Middle,4,68,na,77,na
2018,2,Anne Arundel,3033,MacArthur Middle,3,50,na,31,na
2018,2,Anne Arundel,3062,Brock Bridge Elementary,3,45,12,na,na
2018,2,Anne Arundel,3072,Crofton Elementary,4,62,43,na,na
2018,2,Anne Arundel,3082,Crofton Woods Elementary,4,60,39,na,na
2018,2,Anne Arundel,3092,Seven Oaks Elementary,3,53,23,na,na
2018,2,Anne Arundel,3102,Hebron - Harman Elementary,3,45,13,na,na
2018,2,Anne Arundel,3112,Jessup Elementary,3,47,16,na,na
2018,2,Anne Arundel,3122,Manor View Elementary,3,51,20,na,na
2018,2,Anne Arundel,3132,Maryland City Elementary,2,40,7,na,na
2018,2,Anne Arundel,3142,Meade Heights Elementary,2,42,9,na,na
2018,2,Anne Arundel,3152,Van Bokkelen Elementary,2,37,4,na,na
2018,2,Anne Arundel,3162,Millersville Elementary,3,45,12,na,na
2018,2,Anne Arundel,3172,Odenton Elementary,2,39,7,na,na
2018,2,Anne Arundel,3182,Pershing Hill Elementary,3,54,25,na,na
2018,2,Anne Arundel,3192,Ridgeway Elementary,3,53,24,na,na
2018,2,Anne Arundel,3202,Severn Elementary,3,46,14,na,na
2018,2,Anne Arundel,3212,South Shore Elementary,3,50,19,na,na
2018,2,Anne Arundel,3222,Waugh Chapel Elementary,3,58,32,na,na
2018,2,Anne Arundel,3242,Piney Orchard Elementary,3,55,26,na,na
2018,2,Anne Arundel,3263,Crofton Middle,4,72,na,86,na
2018,2,Anne Arundel,3272,Four Seasons Elementary,3,53,23,na,na
2018,2,Anne Arundel,3282,Nantucket Elementary,3,48,16,na,na
2018,2,Anne Arundel,3323,Meade High,3,57,na,na,40
2018,2,Anne Arundel,3333,Old Mill Middle North,3,55,na,44,na
2018,2,Anne Arundel,3343,Old Mill Middle South,4,62,na,63,na
2018,2,Anne Arundel,3353,Old Mill High,4,61,na,na,50
2018,2,Anne Arundel,3362,Crofton Meadows Elementary,3,51,19,na,na
2018,2,Anne Arundel,3372,Glen Burnie Park Elementary,2,42,9,na,na
2018,2,Anne Arundel,3382,Southgate Elementary,2,44,12,na,na
2018,2,Anne Arundel,3392,Rippling Woods Elementary,2,38,6,na,na
2018,2,Anne Arundel,3423,Meade Middle,3,53,na,37,na
2018,2,Anne Arundel,4013,Annapolis High,3,53,na,na,37
2018,2,Anne Arundel,4023,Southern High,4,68,na,na,68
2018,2,Anne Arundel,4033,Annapolis Middle,3,50,na,31,na
2018,2,Anne Arundel,4043,Wiley H. Bates Middle,3,59,na,57,na
2018,2,Anne Arundel,4053,Southern Middle,4,62,na,64,na
2018,2,Anne Arundel,4074,Phoenix Academy,1,28,0,5,9
2018,2,Anne Arundel,4092,Annapolis Elementary,2,38,5,na,na
2018,2,Anne Arundel,4112,Central Elementary,3,52,22,na,na
2018,2,Anne Arundel,4122,Davidsonville Elementary,3,55,26,na,na
2018,2,Anne Arundel,4132,Deale Elementary,3,51,20,na,na
2018,2,Anne Arundel,4142,Eastport Elementary,2,36,4,na,na
2018,2,Anne Arundel,4152,Edgewater Elementary,3,56,27,na,na
2018,2,Anne Arundel,4162,Georgetown East Elementary,2,42,9,na,na
