lea_number,lea_name,school_number,school_name,nces_number,number_academic_year,star_rating,total_earned_points_percent,percentile_rank_elementary,percentile_rank_middle,percentile_rank_high,address,city,lat,lon
01,Allegany,0301,Flintstone Elementary,240003000014,2018,4,64,52,NA,NA,22000 National Pike Ne,Flintstone,39.701416,-78.564443
01,Allegany,0401,South Penn Elementary,240003001359,2018,4,65,52,NA,NA,500 E 2nd St,Cumberland,39.635866,-78.756556
01,Allegany,0402,John Humbird Elementary,240003000019,2018,4,69,67,NA,NA,120 Mary St,Cumberland,39.625577,-78.765612
01,Allegany,0405,Fort Hill High,240003000015,2018,3,59,NA,NA,45,500 Greenway Ave,Cumberland,39.644341,-78.74767
01,Allegany,0406,Washington Middle,240003000031,2018,3,56,NA,49,NA,200 Massachusetts Ave,Cumberland,39.63866,-78.745863
01,Allegany,0502,Northeast Elementary,240003000024,2018,5,79,91,NA,NA,11001 Forest Ave Ne,Cumberland,39.678636,-78.758716
01,Allegany,0504,Braddock Middle,240003000006,2018,3,58,NA,55,NA,909 Holland St,Cumberland,39.66612,-78.770776
01,Allegany,0601,Center for Career & Technical Education,240003000030,2018,4,60,NA,NA,48,14211 Mcmullen Hwy Sw,Cresaptown,39.600796,-78.824934
01,Allegany,0603,West Side Elementary,240003000032,2018,5,78,88,NA,NA,425 Paca St,Cumberland,39.649844,-78.772791
01,Allegany,0606,Allegany High,240003000001,2018,4,64,NA,NA,57,616 Sedgwick St,Cumberland,39.656051,-78.775101
01,Allegany,0701,Cresaptown Elementary,240003000010,2018,5,79,90,NA,NA,13202 6th Ave,Cresaptown,39.58977,-78.831406
01,Allegany,0702,Bel Air Elementary,240003000005,2018,4,65,54,NA,NA,14401 Barton Blvd,Cumberland,39.578833,-78.853704
01,Allegany,0801,Westernport Elementary,240003000033,2018,4,72,76,NA,NA,172 Church St,Westernport,39.481936,-79.042052
01,Allegany,0802,Westmar Middle,240003000007,2018,4,65,NA,70,NA,16915 Lower George's Creek Rd Sw,Lonaconing,39.561208,-78.987993
01,Allegany,1001,George's Creek Elementary,240003000017,2018,4,70,68,NA,NA,15600 Lower Georges Creek Rd Sw,Lonaconing,39.578241,-78.963827
01,Allegany,1101,Frost Elementary,240003000016,2018,5,88,99,NA,NA,260 Shaw St,Frostburg,39.671369,-78.930391
01,Allegany,1301,Mount Savage Middle,240003000023,2018,3,59,NA,56,NA,13201 New School Rd  Nw,Mount Savage,39.701102,-78.88
